,count,pair
0,4.0,"(dont,100)"
1,2.0,"(dont,14th)"
2,1.0,"(dont,20min)"
3,1.0,"(dont,3phasefootbal)"
4,12.0,"(dont,4)"
5,1.0,"(dont,45)"
6,2.0,"(dont,59)"
7,1.0,"(dont,8h)"
8,1.0,"(dont,9am)"
9,1.0,"(dont,abid)"
10,1.0,"(dont,accident)"
11,2.0,"(dont,accur)"
12,1.0,"(dont,across)"
13,1.0,"(dont,ad)"
14,1.0,"(dont,advic)"
15,2.0,"(dont,aka)"
16,1.0,"(dont,alhambra)"
17,1.0,"(dont,alien)"
18,10.0,"(dont,all)"
19,2.0,"(dont,american)"
20,13.0,"(dont,amp)"
21,1.0,"(dont,amtrak)"
22,1.0,"(dont,analog)"
23,2.0,"(dont,angri)"
24,6.0,"(dont,anoth)"
25,1.0,"(dont,anxious)"
26,2.0,"(dont,aoc)"
27,1.0,"(dont,arentr)"
28,6.0,"(dont,around)"
29,2.0,"(dont,ass)"
30,2.0,"(dont,athlet)"
31,19.0,"(dont,back)"
32,1.0,"(dont,ball)"
33,1.0,"(dont,bambambigganos)"
34,1.0,"(dont,banter)"
35,2.0,"(dont,base)"
36,1.0,"(dont,becam)"
37,8.0,"(dont,believ)"
38,1.0,"(dont,below)"
39,1.0,"(dont,bigbear_bear10)"
40,1.0,"(dont,bknetsforev)"
41,1.0,"(dont,blind)"
42,1.0,"(dont,blow)"
43,2.0,"(dont,board)"
44,2.0,"(dont,bout)"
45,1.0,"(dont,brimsdown)"
46,1.0,"(dont,briteeye777)"
47,1.0,"(dont,brockley)"
48,1.0,"(dont,bubblysag)"
49,3.0,"(dont,bunch)"
50,2.0,"(dont,buy)"
51,1.0,"(dont,caliconserv1)"
52,2.0,"(dont,calm)"
53,1.0,"(dont,cancel)"
54,2.0,"(dont,cat)"
55,1.0,"(dont,centrist)"
56,1.0,"(dont,chalkwhite101)"
57,1.0,"(dont,chappers06)"
58,1.0,"(dont,charg)"
59,1.0,"(dont,chug)"
60,1.0,"(dont,ciaspygirl)"
61,1.0,"(dont,clickbait)"
62,1.0,"(dont,coachella)"
63,1.0,"(dont,collidecon)"
64,1.0,"(dont,communiti)"
65,1.0,"(dont,commut)"
66,1.0,"(dont,comolli71)"
67,2.0,"(dont,compar)"
68,1.0,"(dont,compet)"
69,1.0,"(dont,complain)"
70,1.0,"(dont,complet)"
71,2.0,"(dont,connect)"
72,1.0,"(dont,consent)"
73,4.0,"(dont,conserv)"
74,1.0,"(dont,contest)"
75,1.0,"(dont,corbyn)"
76,1.0,"(dont,coronari)"
77,2.0,"(dont,cost)"
78,3.0,"(dont,cover)"
79,1.0,"(dont,ctanner3)"
80,3.0,"(dont,cub)"
81,1.0,"(dont,curriculum)"
82,3.0,"(dont,custom)"
83,1.0,"(dont,cute)"
84,1.0,"(dont,dad)"
85,1.0,"(dont,danicugini)"
86,14.0,"(dont,day)"
87,2.0,"(dont,dead)"
88,1.0,"(dont,dear)"
89,1.0,"(dont,death)"
90,2.0,"(dont,defend)"
91,2.0,"(dont,dem)"
92,1.0,"(dont,dilishaw)"
93,1.0,"(dont,dirtdigger11)"
94,1.0,"(dont,disillusionedlik)"
95,1.0,"(dont,dispar)"
96,1.0,"(dont,docil)"
97,2.0,"(dont,dontgetoffatbaltimoredontgetoffatbalimoredont)"
98,1.0,"(dont,downfal)"
99,2.0,"(dont,driver)"
100,1.0,"(dont,duckl)"
101,2.0,"(dont,dude)"
102,1.0,"(dont,e)"
103,1.0,"(dont,echocharley81)"
104,1.0,"(dont,education4lib)"
105,7.0,"(dont,either)"
106,1.0,"(dont,emilyqr)"
107,1.0,"(dont,entri)"
108,1.0,"(dont,episod)"
109,1.0,"(dont,equal)"
110,2.0,"(dont,equip)"
111,2.0,"(dont,essenti)"
112,1.0,"(dont,eus)"
113,1.0,"(dont,evilkth)"
114,1.0,"(dont,fade)"
115,1.0,"(dont,fair)"
116,1.0,"(dont,faith)"
117,2.0,"(dont,fake)"
118,7.0,"(dont,fan)"
119,1.0,"(dont,fanfic)"
120,1.0,"(dont,fannypack)"
121,1.0,"(dont,fantasyspinoff)"
122,1.0,"(dont,fatehpur)"
123,1.0,"(dont,fatehpurkind)"
124,1.0,"(dont,fatehpurnow)"
125,1.0,"(dont,fay_young)"
126,1.0,"(dont,fftraderjo)"
127,1.0,"(dont,fiction)"
128,1.0,"(dont,fifth)"
129,1.0,"(dont,finitealright)"
130,1.0,"(dont,five)"
131,1.0,"(dont,flashback)"
132,2.0,"(dont,fli)"
133,9.0,"(dont,follow)"
134,2.0,"(dont,footbal)"
135,7.0,"(dont,forget)"
136,5.0,"(dont,friend)"
137,1.0,"(dont,fruit)"
138,1.0,"(dont,g_man500)"
139,1.0,"(dont,gangren)"
140,1.0,"(dont,gentl)"
141,1.0,"(dont,gigant)"
142,1.0,"(dont,glasgow)"
143,1.0,"(dont,gnrailuk)"
144,4.0,"(dont,goe)"
145,1.0,"(dont,golfer)"
146,1.0,"(dont,grannyanon1969)"
147,2.0,"(dont,grant)"
148,1.0,"(dont,grow)"
149,1.0,"(dont,haryshv)"
150,7.0,"(dont,hes)"
151,4.0,"(dont,histori)"
152,1.0,"(dont,hold)"
153,1.0,"(dont,hoop)"
154,1.0,"(dont,horn)"
155,3.0,"(dont,hous)"
156,1.0,"(dont,httpstcoigrp7bk5ey)"
157,1.0,"(dont,httpstcooqol19tktm)"
158,1.0,"(dont,httpstcouitl4dy7h8)"
159,1.0,"(dont,httpstcourb2aaijqh)"
160,1.0,"(dont,httpstcowunhscn6bx)"
161,1.0,"(dont,httpstcowz30duqmym)"
162,1.0,"(dont,httpstcoy36vnf6a1w)"
163,1.0,"(dont,httpstcoz3pgblx0yu)"
164,1.0,"(dont,ia)"
165,2.0,"(dont,ilhanmn)"
166,2.0,"(dont,initi)"
167,2.0,"(dont,insert)"
168,1.0,"(dont,intens)"
169,1.0,"(dont,interest)"
170,1.0,"(dont,iraiseufact)"
171,2.0,"(dont,jam)"
172,3.0,"(dont,jeremycorbyn)"
173,2.0,"(dont,journey)"
174,1.0,"(dont,juic)"
175,1.0,"(dont,juke_willjohn)"
176,1.0,"(dont,kcranew)"
177,8.0,"(dont,kill)"
178,1.0,"(dont,kiss)"
179,1.0,"(dont,knowthey)"
180,1.0,"(dont,koepka)"
181,1.0,"(dont,korea)"
182,1.0,"(dont,kraykimiko)"
183,1.0,"(dont,l)"
184,1.0,"(dont,lanyard)"
185,10.0,"(dont,late)"
186,2.0,"(dont,law)"
187,2.0,"(dont,leader)"
188,1.0,"(dont,leadto)"
189,1.0,"(dont,led)"
190,1.0,"(dont,leisur)"
191,1.0,"(dont,list)"
192,4.0,"(dont,littl)"
193,1.0,"(dont,loot)"
194,1.0,"(dont,loshernandez29)"
195,1.0,"(dont,luxuri)"
196,6.0,"(dont,made)"
197,2.0,"(dont,magic)"
198,22.0,"(dont,make)"
199,7.0,"(dont,man)"
200,1.0,"(dont,meat)"
201,1.0,"(dont,mela)"
202,1.0,"(dont,mesh)"
203,1.0,"(dont,metpoliceuk)"
204,1.0,"(dont,minneapoli)"
205,1.0,"(dont,mj)"
206,1.0,"(dont,moan)"
207,1.0,"(dont,more)"
208,1.0,"(dont,motherfuck)"
209,1.0,"(dont,n7goodman)"
210,1.0,"(dont,nanuet)"
211,1.0,"(dont,neglect)"
212,1.0,"(dont,newtonrox01)"
213,1.0,"(dont,nicholasnapolio)"
214,1.0,"(dont,nigel)"
215,1.0,"(dont,nn)"
216,3.0,"(dont,nobodi)"
217,1.0,"(dont,nooo)"
218,1.0,"(dont,norm)"
219,2.0,"(dont,nyc)"
220,1.0,"(dont,offfield_mascot)"
221,4.0,"(dont,often)"
222,3.0,"(dont,ok)"
223,2.0,"(dont,opinion)"
224,6.0,"(dont,or)"
225,1.0,"(dont,oti)"
226,3.0,"(dont,out)"
227,3.0,"(dont,over)"
228,3.0,"(dont,own)"
229,1.0,"(dont,paranoia)"
230,1.0,"(dont,pass)"
231,2.0,"(dont,patriot)"
232,1.0,"(dont,pattern)"
233,1.0,"(dont,piec)"
234,1.0,"(dont,pilot)"
235,1.0,"(dont,plant)"
236,6.0,"(dont,player)"
237,1.0,"(dont,pleasepretti)"
238,1.0,"(dont,plus)"
239,1.0,"(dont,poll)"
240,1.0,"(dont,pooky0305)"
241,1.0,"(dont,powerlift)"
