,count,pair,word,cooccurword,alphaword
0,4.0,"(citi,10)",10,citi,10citi
1,5.0,"(citi,100)",100,citi,100citi
2,2.0,"(citi,1970s)",1970s,citi,1970sciti
3,1.0,"(citi,2)",2,citi,2citi
4,1.0,"(citi,200plus)",200plus,citi,200plusciti
5,2.0,"(citi,24)",24,citi,24citi
6,1.0,"(citi,30by60foot)",30by60foot,citi,30by60footciti
7,1.0,"(citi,31)",31,citi,31citi
8,1.0,"(citi,310)",310,citi,310citi
9,1.0,"(citi,50th)",50th,citi,50thciti
10,1.0,"(citi,52)",52,citi,52citi
11,1.0,"(citi,80)",80,citi,80citi
12,1.0,"(citi,800)",800,citi,800citi
13,1.0,"(citi,9)",9,citi,9citi
14,1.0,"(citi,access)",access,citi,accessciti
15,1.0,"(citi,acr)",acr,citi,acrciti
16,1.0,"(citi,ad)",ad,citi,adciti
17,2.0,"(citi,address)",address,citi,addressciti
18,2.0,"(citi,advoc)",advoc,citi,advocciti
19,1.0,"(citi,after)",after,citi,afterciti
20,2.0,"(citi,afternoon)",afternoon,citi,afternoonciti
21,2.0,"(citi,aggress)",aggress,citi,aggressciti
22,1.0,"(citi,all)",all,citi,allciti
23,4.0,"(citi,along)",along,citi,alongciti
24,1.0,"(citi,ambival)",ambival,citi,ambivalciti
25,2.0,"(citi,america)",america,citi,americaciti
26,2.0,"(citi,anyon)",anyon,citi,anyonciti
27,1.0,"(citi,anywher)",anywher,citi,anywherciti
28,3.0,"(citi,apart)",apart,citi,apartciti
29,1.0,"(citi,approv)",approv,citi,approvciti
30,2.0,"(citi,arriv)",arriv,citi,arrivciti
31,1.0,"(citi,assum)",assum,citi,assumciti
32,3.0,"(citi,attend)",attend,citi,attendciti
33,1.0,"(citi,audienc)",audienc,citi,audiencciti
34,1.0,"(citi,aurora)",aurora,citi,auroraciti
35,1.0,"(citi,avoid)",avoid,citi,avoidciti
36,2.0,"(citi,babi)",babi,citi,babiciti
37,1.0,"(citi,baddest)",baddest,citi,baddestciti
38,1.0,"(citi,baymen)",baymen,citi,baymenciti
39,3.0,"(citi,beach)",beach,citi,beachciti
40,1.0,"(citi,bernardsvill)",bernardsvill,citi,bernardsvillciti
41,3.0,"(citi,best)",best,citi,bestciti
42,1.0,"(citi,biden)",biden,citi,bidenciti
43,1.0,"(citi,blueprint)",blueprint,citi,blueprintciti
44,2.0,"(citi,bright)",bright,citi,brightciti
45,3.0,"(citi,bring)",bring,citi,bringciti
46,1.0,"(citi,brochur)",brochur,citi,brochurciti
47,1.0,"(citi,burglari)",burglari,citi,burglariciti
48,5.0,"(citi,busi)",busi,citi,busiciti
49,2.0,"(citi,buy)",buy,citi,buyciti
50,2.0,"(citi,cafe)",cafe,citi,cafeciti
51,4.0,"(citi,came)",came,citi,cameciti
52,1.0,"(citi,canva)",canva,citi,canvaciti
53,1.0,"(citi,captur)",captur,citi,capturciti
54,1.0,"(citi,card)",card,citi,cardciti
55,1.0,"(citi,cash)",cash,citi,cashciti
56,1.0,"(citi,cavern)",cavern,citi,cavernciti
57,1.0,"(citi,centuri)",centuri,citi,centuriciti
58,1.0,"(citi,certain)",certain,citi,certainciti
59,2.0,"(citi,chairman)",chairman,citi,chairmanciti
60,1.0,"(citi,chief)",chief,citi,chiefciti
61,1.0,"(citi,childhood)",childhood,citi,childhoodciti
62,1.0,"(citi,choic)",choic,citi,choicciti
63,1.0,"(citi,class)",citi,class,citiclass
64,1.0,"(citi,clock)",citi,clock,citiclock
65,13.0,"(citi,close)",citi,close,citiclose
66,1.0,"(citi,coalit)",citi,coalit,citicoalit
67,6.0,"(citi,come)",citi,come,citicome
68,1.0,"(citi,commonplac)",citi,commonplac,citicommonplac
69,1.0,"(citi,competit)",citi,competit,citicompetit
70,1.0,"(citi,complex)",citi,complex,citicomplex
71,1.0,"(citi,congoles)",citi,congoles,citicongoles
72,1.0,"(citi,convent)",citi,convent,citiconvent
73,2.0,"(citi,corpor)",citi,corpor,citicorpor
74,4.0,"(citi,coupl)",citi,coupl,citicoupl
75,1.0,"(citi,court)",citi,court,citicourt
76,2.0,"(citi,crane)",citi,crane,citicrane
77,1.0,"(citi,creator)",citi,creator,citicreator
78,1.0,"(citi,credibl)",citi,credibl,citicredibl
79,1.0,"(citi,cricketcraz)",citi,cricketcraz,citicricketcraz
80,4.0,"(citi,crimin)",citi,crimin,citicrimin
81,1.0,"(citi,crisi)",citi,crisi,citicrisi
82,1.0,"(citi,crumbl)",citi,crumbl,citicrumbl
83,4.0,"(citi,cultur)",citi,cultur,citicultur
84,8.0,"(citi,daili)",citi,daili,citidaili
85,19.0,"(citi,day)",citi,day,citiday
86,1.0,"(citi,daytoday)",citi,daytoday,citidaytoday
87,1.0,"(citi,declar)",citi,declar,citideclar
88,1.0,"(citi,defin)",citi,defin,citidefin
89,1.0,"(citi,deindustri)",citi,deindustri,citideindustri
90,2.0,"(citi,demand)",citi,demand,citidemand
91,1.0,"(citi,denver)",citi,denver,citidenver
92,1.0,"(citi,dial)",citi,dial,citidial
93,1.0,"(citi,dilemma)",citi,dilemma,citidilemma
94,1.0,"(citi,discount)",citi,discount,citidiscount
95,1.0,"(citi,discov)",citi,discov,citidiscov
96,2.0,"(citi,discrimin)",citi,discrimin,citidiscrimin
97,1.0,"(citi,disput)",citi,disput,citidisput
98,4.0,"(citi,divers)",citi,divers,citidivers
