,tweetID,text
0,1117940602770022406,"Local bars helping us spread the word about consent by using our coasters during Sexual Assault Awareness Month!

The Chase
308 Brass Rail
Oak Tree Lounge
Town Bar
Night Light
Duffy's Food &amp; Spirits
Robins Roost
Denton's Den
Jacks Place
Kingston's Lounge
The Dirty Bird https://t.co/CnOlOcyugH"
1,1117940044398915584,"@Annakittycat201 all light rail needs ground to allow smoother rides, its a maintenance thing."
2,1117939594429964288,"@TheJessicaLoyd @pablovasquezari We can track the buses and some of the light rail trains with our systems, however we have more than 1,000 buses servicing 10,000 stops over a 2,300 square mile area, so we do often rely on our riders to help find trouble areas. https://t.co/F9MKcF3QRK"
3,1117938965527404544,"Thanks to tbe nice person on @SoundTransit  light rail who lifted my bike onto the hook — I can’t barely lift the heavy orange bike that high anyway and not while the train starts moving.

But I biked to work y’all! And now meeting the family to bike home from gymnastics!!"
4,1117935105660440576,@danielhoang There are supposed to be a couple of nice parks! @theevergrey went for one of their first newsletters https://t.co/aqrsNStXrG
5,1117931389498773506,Taking advantage of this freelance time to ride #SoundTransit down to Angle Lake Park and explore the only light rail stop I've yet to see! #PNW
6,1117929180488978432,This lady has been staring at me since I been on the light rail
7,1117928721879486469,"@SazeracLA @JeffreyRBadger @expolineledger @metrolaalerts I believe this is due to the fact that the Blue Line Yard (Sorry, I forget the “Division” number) is cut off from the system right now and the Expo Line Yard in Santa Monica does not have enough storage capacity for enough light rail cars?"
8,1117927019835056129,@NarelleVance Similar thing happened for the light rail down Northbourne Avenue in Canberra. Can't let those pesky trees take up valuable concrete space.
9,1117925822684368901,"[Solution] Add connectivity to trains, light rail and subway https://t.co/sZ8ipLKJGC #iot #smartcities #invehicle https://t.co/ZBBL3Xug52"
10,1117923885356396544,@AuthenticMind_ It’s a bet! At least I got my Ls now so when I finally do . Ain’t no taking the bus or light rail! I got us 🙏🏾
11,1117923052212375564,"An @RTCSNV official reported the light rail system that has been touted as a $750 million project since 2016 — including during the final public meetings and open comment period that concluded last month — was now pegged at $1 billion 
https://t.co/5pIIWFCJ7T"
12,1117922604529135617,@Biddco Yup! On the light rail to our car currently
13,1117921692158795777,"IF we're going to vote against any further extensions to light rail, let's do a merciful killing to the entire system.  The system isn't viable with just a single line starting at near nowhere leading to near nowhere. https://t.co/J8X44VzhRe via @azcentral"
14,1117921155271184385,"If you build it, they will come 

Businesses already relocating closer to light-rail stations https://t.co/VBL3eADjIf #population #infrastructure #auspol"
15,1117921114615963649,Phoenix voters could kill light rail. Here's what you need to know https://t.co/kne1PdxnPv @jboehm_NEWS Of course light rail should continue. It's important to the future of Phoenix the city
16,1117921038732390402,"🍫 Save your $$ for chocolate this Easter and hop on board the FREE light rail services this weekend (20-21 April).

Keep counting your savings (and Easter eggs) because buses and light rail will also be FREE 29 April-26 May. 
#WeAreCBR #CBRlightrail https://t.co/QtcyKI6Yot"
17,1117919919381733376,The new look of Newcastle...new light rail meets new city campus for @Uni_Newcastle at #newspace https://t.co/XhnMnsP4wS
18,1117919740385689605,"@ne0liberal @cricketcrocker and I had a bit of discussion about this a while ago about Ann Arbor, MI train crossings. It's something that desperately needs another look if people are going to tolerate light transit rail."
19,1117919050988912640,"🚆🚋⛴️ You can get your fare refunded every Tuesday this April when you tap on &amp; tap off with your Bendigo Bank debit or credit Mastercard® on Sydney trains, light rail &amp; Sydney ferries. T&amp;Cs apply. More info https://t.co/GqtZ4VcLyc https://t.co/rEO2ZqwALV"
20,1117916968340692992,The light rail is a scary place
21,1117915560551911425,That's what I'm talking about https://t.co/NAcAlWFnq5
22,1117915164899074050,"@RobStokesMP If you care about beauty then you should be intervening in the Parramatta Light Rail. 2000 trees to be felled, ugly poles and wires will destroy our historic precinct. Here are photos of Randwick - how can you let this happen in a heritage precinct Parramatta? #nswpol https://t.co/hDyxAjB6wY"
23,1117911259590959104,Bus rapid transit chosen over light rail for Maryland Parkway in Las Vegas https://t.co/aJGMUMlxt2
24,1117911225432547330,"Lighting from torches is brighter and more PC-like
13 bugs fixed

Fixed a crash when destroying a block under a rail
Chunks now always update when the sky light changes
