,count,pair,word,cooccurword,alphaword
0,2.0,"(airlin,1979)",1979,airlin,1979airlin
1,1.0,"(airlin,1990s)",1990s,airlin,1990sairlin
2,8.0,"(airlin,20)",20,airlin,20airlin
3,1.0,"(airlin,2021)",2021,airlin,2021airlin
4,2.0,"(airlin,250)",250,airlin,250airlin
5,2.0,"(airlin,27)",27,airlin,27airlin
6,12.0,"(airlin,34)",34,airlin,34airlin
7,1.0,"(airlin,425)",425,airlin,425airlin
8,2.0,"(airlin,48)",48,airlin,48airlin
9,1.0,"(airlin,6)",6,airlin,6airlin
10,1.0,"(airlin,600)",600,airlin,600airlin
11,2.0,"(airlin,737800s)",737800s,airlin,737800sairlin
12,1.0,"(airlin,747)",747,airlin,747airlin
13,1.0,"(airlin,90)",90,airlin,90airlin
14,1.0,"(airlin,97)",97,airlin,97airlin
15,2.0,"(airlin,a320)",a320,airlin,a320airlin
16,1.0,"(airlin,adept)",adept,airlin,adeptairlin
17,1.0,"(airlin,advertis)",advertis,airlin,advertisairlin
18,1.0,"(airlin,advoc)",advoc,airlin,advocairlin
19,2.0,"(airlin,aeroflot)",aeroflot,airlin,aeroflotairlin
20,7.0,"(airlin,african)",african,airlin,africanairlin
21,6.0,"(airlin,after)",after,airlin,afterairlin
22,2.0,"(airlin,afternoon)",afternoon,airlin,afternoonairlin
23,2.0,"(airlin,agreement)",agreement,airlin,agreementairlin
24,1.0,"(airlin,airborn)",airborn,airlin,airbornairlin
25,1.0,"(airlin,airsick)",airlin,airsick,airlinairsick
26,3.0,"(airlin,alaska)",airlin,alaska,airlinalaska
27,4.0,"(airlin,allianc)",airlin,allianc,airlinallianc
28,3.0,"(airlin,along)",airlin,along,airlinalong
29,2.0,"(airlin,although)",airlin,although,airlinalthough
30,5.0,"(airlin,an)",airlin,an,airlinan
31,1.0,"(airlin,ani)",airlin,ani,airlinani
32,1.0,"(airlin,anniversari)",airlin,anniversari,airlinanniversari
33,4.0,"(airlin,announc)",airlin,announc,airlinannounc
34,1.0,"(airlin,arrang)",airlin,arrang,airlinarrang
35,1.0,"(airlin,arriv)",airlin,arriv,airlinarriv
36,2.0,"(airlin,articl)",airlin,articl,airlinarticl
37,1.0,"(airlin,asiana)",airlin,asiana,airlinasiana
38,9.0,"(airlin,associ)",airlin,associ,airlinassoci
39,1.0,"(airlin,autopilot)",airlin,autopilot,airlinautopilot
40,2.0,"(airlin,avoid)",airlin,avoid,airlinavoid
41,1.0,"(airlin,awar)",airlin,awar,airlinawar
42,1.0,"(airlin,away)",airlin,away,airlinaway
43,1.0,"(airlin,backward)",airlin,backward,airlinbackward
44,1.0,"(airlin,bad)",airlin,bad,airlinbad
45,1.0,"(airlin,basi)",airlin,basi,airlinbasi
46,1.0,"(airlin,beam)",airlin,beam,airlinbeam
47,2.0,"(airlin,befor)",airlin,befor,airlinbefor
48,2.0,"(airlin,begashaw)",airlin,begashaw,airlinbegashaw
49,1.0,"(airlin,bet)",airlin,bet,airlinbet
50,1.0,"(airlin,betterknown)",airlin,betterknown,airlinbetterknown
51,8.0,"(airlin,brief)",airlin,brief,airlinbrief
