,count,pair,word,cooccurword,alphaword
0,7.0,"(citi,10)",10,citi,10citi
1,5.0,"(citi,100)",100,citi,100citi
2,1.0,"(citi,1956)",1956,citi,1956citi
3,1.0,"(citi,1970s)",1970s,citi,1970sciti
4,3.0,"(citi,2)",2,citi,2citi
5,1.0,"(citi,200year)",200year,citi,200yearciti
6,2.0,"(citi,2012)",2012,citi,2012citi
7,4.0,"(citi,24)",24,citi,24citi
8,1.0,"(citi,300th)",300th,citi,300thciti
9,4.0,"(citi,359)",359,citi,359citi
10,1.0,"(citi,50th)",50th,citi,50thciti
11,2.0,"(citi,52)",52,citi,52citi
12,1.0,"(citi,80)",80,citi,80citi
13,1.0,"(citi,800)",800,citi,800citi
14,2.0,"(citi,9)",9,citi,9citi
15,1.0,"(citi,abus)",abus,citi,abusciti
16,1.0,"(citi,access)",access,citi,accessciti
17,8.0,"(citi,acr)",acr,citi,acrciti
18,2.0,"(citi,ad)",ad,citi,adciti
19,2.0,"(citi,ada)",ada,citi,adaciti
20,3.0,"(citi,address)",address,citi,addressciti
21,1.0,"(citi,adriat)",adriat,citi,adriatciti
22,2.0,"(citi,advoc)",advoc,citi,advocciti
23,2.0,"(citi,affluent)",affluent,citi,affluentciti
24,2.0,"(citi,after)",after,citi,afterciti
25,2.0,"(citi,afternoon)",afternoon,citi,afternoonciti
26,2.0,"(citi,aggress)",aggress,citi,aggressciti
27,3.0,"(citi,all)",all,citi,allciti
28,11.0,"(citi,along)",along,citi,alongciti
29,1.0,"(citi,ambival)",ambival,citi,ambivalciti
30,3.0,"(citi,america)",america,citi,americaciti
31,1.0,"(citi,anniversari)",anniversari,citi,anniversariciti
32,2.0,"(citi,anywher)",anywher,citi,anywherciti
33,5.0,"(citi,apart)",apart,citi,apartciti
34,2.0,"(citi,approv)",approv,citi,approvciti
35,4.0,"(citi,arriv)",arriv,citi,arrivciti
36,1.0,"(citi,athen)",athen,citi,athenciti
37,3.0,"(citi,attend)",attend,citi,attendciti
38,1.0,"(citi,audienc)",audienc,citi,audiencciti
39,4.0,"(citi,avoid)",avoid,citi,avoidciti
40,2.0,"(citi,babi)",babi,citi,babiciti
41,1.0,"(citi,batman)",batman,citi,batmanciti
42,1.0,"(citi,bear)",bear,citi,bearciti
43,1.0,"(citi,befor)",befor,citi,beforciti
44,1.0,"(citi,bergson)",bergson,citi,bergsonciti
45,6.0,"(citi,best)",best,citi,bestciti
46,6.0,"(citi,bill)",bill,citi,billciti
47,1.0,"(citi,brainstorm)",brainstorm,citi,brainstormciti
