,tweetID,text
0,1116128723554664449,I’m so hungry and this bus ride is gonna take forever
1,1116128723324088320,"@steelers1288 @ClaudeJohnson @POLIV411 @iveyjanette_207 @MyTimesProse @Kokomoschmoe @TheEsquire212 @randycrossFB @krazykitty4fuzz @uclamike11 @Skyline_Chili @olskool888 @NBA Used to pass it on the bus fr. Madison Road, downtown"
2,1116128706320322560,Likkle most me bawl a the bus stop likkle while. Nosa
3,1116128695234826240,I don't understand why they have a CEO of a BU inside a BU. Why not surface GCP to a BU equal to Search if it's such a big part of their future? They have less important separate BUs. #GoogleNext19
4,1116128668269600769,"When you own the largest party bus fleet in the Southeast  you collect a lot of left over booze. Seriously, who has an event? #beer4dayz https://t.co/AdbKAfTYl5 https://t.co/SrW2Ib6wVK"
5,1116128660128448513,"Post Saphora lipstick try on windy bus look.

#lipstick  #💄 #saphora #spring #wind #selfie #busstop https://t.co/6PLcjMZHiZ https://t.co/4LEfd7cia7"
6,1116128646178197513,"Trying to get better at playing some @PUBG on PC. Come watch me on the struggle bus and give me some pointers. #PCMR #Twitch #LIvestream 
https://t.co/E2ZO0YJZDT"
7,1116128642063634433,"One Killed, 18 Injured As Bus Overturns in Multan https://t.co/k56JSuEWF9"
8,1116128618776858624,@AynW If you live right near a bus stop that will add to the nutty shit that happens. I don’t have a camera bc all my neighbors do so my life is well-documented 😂😂😂
9,1116128611751399424,@jaketapper @SaraMurray @TheLeadCNN BOMBSHELL? POTUS And others ANNOUNCED it 2 years ago. While you were on the collusion bus
10,1116128599969394689,@luvjj1814 @Oprah They can’t let him Rest In Peace m. When they came to Oprah on this first of all she shouldn’t have thrown another black man under the bus.  2 she didn’t even think that when she heard JS story hmm wait a min I was there in 93 there was no train station and she could have
11,1116128594130980864,@vaguelym @Sayraphim We went last December. It's amazing! Really wonderful. There's a bus stop right there
12,1116128589047529472,"Happy bus ride back to BG! 

📰Big Fifth Inning Propels BGSU To Win At Purdue Fort Wayne📰

RECAP ➡️ https://t.co/M6h7wuOnhC https://t.co/7L7JrDXn0M"
13,1116128566884929536,Govt approves new bus fare increase https://t.co/EWDeRPZMma
14,1116128548329336832,@chiefkeeficus @RyanMxciveR @ltsEloy @fjcplays1 @NWOMayem @owhiites @CarlosThomsen1 @iamyoungojayy @TSM_Daequan Have fun playing aggressive with a 3 point bus fare and 10 minutes queues lol
15,1116128547318321154,"an older man on the bus just told a young woman (whom he did not know personally) that she shouldn’t wear horizontal stripes because it makes her look fat. that she should wear vertical stripes instead.

I will never stop saying that men are trash."
16,1116128536333561856,My biggest fear is eating at a restaurant and a charter bus of teenagers pulling up.
17,1116128534559371265,This Lil Boy Onna Bus Sitting Beside Me Keep Trying Fall Asleep
18,1116128510500851712,@Tracey04946595 @Mandi13371 @Qbdoobedoo @CJeanlove @postyswhxre @Redd_Iverson @DarkDollMob @bmcclean1 @CourtneyBSumme1 @budlight You know it.. party bus coming throughhhh ♡
19,1116128503806689281,"a knee ways, everything was good until my bff and i went to get our bus but that fucker just drove past us???? so yeah we are stuck in berlin now lmaooo but thankfully we booked another bus for like 3 am ugh bitch this really is a long journey like ateez said ha-ha"
20,1116128503496433665,"@WatchnDaWorld @SenSchumer @SpeakerPelosi @SenGillibrand @RepPaulTonko Not in custody. Being processed soon to be released, given bus tickets and sent to the interior, god knows where....to be lost forever."
21,1116128487172116480,stèphan universidad's dad ran me over with a bus full of antis bc I wrote a problematìque OC one time.
22,1116128485544738822,Buddy on the next bus back to Cleveland lol https://t.co/lotVpSIE3g
23,1116128473725014016,@TheNotoriousMMA Ever since your threw the chair at the bus with other fighters you’ve been manic mate
24,1116128404946862080,@leisurefriar @PadresGeekster @AppreciatedSD @justinlivinlife You’re right I should have consulted the guy that buys 2 lbs of butter to save 11 cents and rides the bus on financial issues
25,1116128386953416706,@TPPatriots @KennRWeeks One of the many bus stops. This one is in Flatonia Texas.  They all got off.  Got food. Loaded and then left. Where are they taking them?  All men. https://t.co/1E0W9Qhhy1
26,1116128349271625729,"Be 5 minutes early

🚨 Rider Reminder 🚨 As they say, early bird gets the worm. Make sure you're at your bus stop 5 minutes ahead of the boarding time. Don't forget to check out other travel tips at https://t.co/n1cuNiq3Vq https://t.co/gSxThTRmEE"
27,1116128292862664704,"Q: Will you go by people’s houses instead of people having to go to the bus? Thought about working w/ Perrone? 
A: Maybe. 

#CCAC0419"
28,1116128289498779654,@Mandi13371 @Qbdoobedoo @alwayystired @CJeanlove @postyswhxre @Redd_Iverson @DarkDollMob @bmcclean1 @CourtneyBSumme1 @budlight In the song wow it says puĺled up to the house with some big butts we will be pulling up at the house in a big bus lol
29,1116128274785026048,"@dopededo @cmclymer Oh, you must have had to have a police escort to get to school safely. Or maybe you had to sit in the back of the bus cuz of ur skin color."
30,1116128246746083330,My house is just 2 stops away but here I am waiting for the bus because I'm lazy to walk back https://t.co/vrXKrDdl7w
31,1116128238743453699,i am a bus station skank who would fax josh lyman in his time of need. i’m not ashamed
32,1116128232368168960,"Hudy Muldrow, 78, drove the bus on Interstate 80 that was hit by a dump truck. 2 people, a teacher and student, were killed and dozens hurt. https://t.co/nU068GeCT2"
33,1116128208326361089,Last week a conductor say based on how I talk I could work bus. At first me did offended but now me a consider it because the amount a bus fare me affi pay just fi reach mi yaad  a evening time 😒
34,1116128202370506752,Kim Kardashian is Officially studying to become a lawyer! And Here’s Her Reasons Why https://t.co/ctWqnJPA2w
35,1116128189590360064,"Yes! You never know what a visit could bring.

A chance meeting and conversation on the 41 bus brought @Hassanah2017 and I together. From there, our friendship moved to @PacSci, and beyond. 🚀🌸🤓 https://t.co/nx30ajZxIE"
36,1116128183235928064,"@piipster Ok, we are checking with the replacement bus provider, please see Customer Service staff for possible alternatives if this happens in the future, sorry for your experience."
37,1116128180090417152,"I think I’ve got Tampa almost planned.
Friday: Tampa Bay Brewing, Coppertail, Brew Bus, Rock Brothers
Saturday: Green Bench, Cycle, Cage, 3 Daughters
Sunday: Cigar City, Hidden Springs, Angry Chair"
38,1116128168513904640,my brother’s bus rly dented someone’s car RLY bad jdndjdnd
39,1116128154622386176,Mr @anthonyloke there’s no point of the RM50 bus pass if the bus we take doesn’t come on time. Please get the ministry to check on RapidKL’s bus services because it seems they cannot manage it. Late again to work today! @MOTMalaysia @MyRapidKL @AskRapidKL
40,1116128139271450626,"A. 5 It helped me think about what I say and do, to strive to be more positive in general. It reminded me to use the Energy Bus book with students and help them form better interpersonal relationships. Also, it reminded me of how much I have to be grateful for! #fesforward"
